country,country_code,gini
Slovak Republic,SVK,24.1
Slovenia,SVN,24.33333333
Belarus,BLR,24.96666667
Czechia,CZE,25.5
Moldova,MDA,25.8
United Arab Emirates,ARE,26
Iceland,ISL,26.1
Ukraine,UKR,26.1
Azerbaijan,AZE,26.6
Belgium,BEL,26.8
Finland,FIN,27.36666667
Algeria,DZA,27.6
Norway,NOR,27.65
Netherlands,NLD,27.76666667
Denmark,DNK,27.8
Kazakhstan,KAZ,27.8
Kiribati,KIR,27.8
Bhutan,BTN,28.5
Timor-Leste,TLS,28.7
Kyrgyz Republic,KGZ,28.8
Kosovo,XKX,29
Maldives,MDV,29.3
Armenia,ARM,29.35
Croatia,HRV,29.36666667
Sweden,SWE,29.4
Poland,POL,29.5
Iraq,IRQ,29.5
Guinea,GIN,29.6
Pakistan,PAK,29.6
Hungary,HUN,29.76666667
Albania,ALB,29.86666667
Ireland,IRL,30.2
Austria,AUT,30.26666667
Malta,MLT,30.36666667
Estonia,EST,30.6
Fiji,FJI,30.7
Myanmar,MMR,30.7
"Korea, Rep.",KOR,31.4
France,FRA,31.43333333
Germany,DEU,31.75
Bangladesh,BGD,31.8
Lebanon,LBN,31.8
Cyprus,CYP,31.86666667
"Egypt, Arab Rep.",EGY,31.9
Canada,CAN,32.1
Seychelles,SYC,32.1
Vanuatu,VUT,32.3
Nauru,NRU,32.4
Mauritania,MRT,32.6
Mongolia,MNG,32.7
Nepal,NPL,32.8
Tunisia,TUN,32.8
Japan,JPN,32.9
Bosnia and Herzegovina,BIH,33
United Kingdom,GBR,33.03333333
Switzerland,CHE,33.1
Greece,GRC,33.2
North Macedonia,MKD,33.25
Tonga,TON,33.5
Portugal,PRT,33.66666667
Jordan,JOR,33.7
West Bank and Gaza,PSE,33.7
Tajikistan,TJK,34
Sudan,SDN,34.2
Australia,AUS,34.3
Luxembourg,LUX,34.33333333
Spain,ESP,34.63333333
India,IND,34.65
Guinea-Bissau,GNB,34.8
Serbia,SRB,34.83333333
Ethiopia,ETH,35
Italy,ITA,35
Romania,ROU,35.06666667
Latvia,LVA,35.1
Nigeria,NGA,35.1
Georgia,GEO,35.25
Liberia,LBR,35.3
Uzbekistan,UZB,35.3
Thailand,THA,35.35
Marshall Islands,MHL,35.5
Lithuania,LTU,35.66666667
Sierra Leone,SLE,35.7
Mali,MLI,36
Viet Nam,VNM,36.25
"Yemen, Rep.",YEM,36.7
Montenegro,MNE,36.8
Mauritius,MUS,36.8
Russian Federation,RUS,37.06666667
Solomon Islands,SLB,37.1
Cote d'Ivoire,CIV,37.2
Niger,NER,37.3
Kenya,KEN,37.45
