,pop_2022,gini,EPI.new,HLT.new,AIR.new,HAD.new,PMD.new,OZD.new,NOE.new,SOE.new,COE.new,VOE.new,H2O.new,USD.new,UWD.new,HMT.new,PBD.new,WMG.new,MSW.new,REC.new,OCP.new,ECO.new,BDH.new,TBN.new,TBG.new,MPA.new,PAR.new,SHI.new,SPI.new,BHV.new,ECS.new,TCL.new,GRL.new,WTL.new,FSH.new,FSS.new,RMS.new,FTD.new,ACD.new,SDA.new,NXA.new,AGR.new,SPU.new,SNM.new,WRS.new,WWT.new,PCC.new,CCH.new,CDA.new,CHA.new,FGA.new,NDA.new,BCA.new,GHN.new,LCB.new,GIB.new,GHP.new,clusters
0,41128771,36.125,43.6,16.0,15.5,7.4,16.0,18.4,37.8,61.2,42.7,37.5,28.1,28.4,27.8,0.0,0.0,4.4,1.1,11.1,36.0,36.9,30.7,20.6,51.5,7.8,5.2,90.8,13.4,41.9,61.8,58.3,44.8,100.0,19.2,30.1,13.6,10.149999999999999,35.5,0.0,71.0,44.2,37.3,51.0,0.0,0.0,65.6,65.6,83.9,50.2,61.4,63.7,42.9,45.3,100.0,77.5,100.0,0
1,35588987,51.3,30.5,20.5,23.1,17.9,24.0,36.8,32.4,60.2,30.3,8.3,12.8,14.1,12.0,36.7,36.7,9.6,0.0,19.0,19.5,28.6,30.1,34.1,36.6,0.0,30.2,88.4,31.8,61.5,29.4,15.5,41.7,100.0,24.3,43.9,17.6,7.9,50.5,39.0,61.9,24.9,20.4,29.3,0.0,0.0,37.7,37.7,39.0,49.7,57.7,70.4,51.8,26.4,37.9,45.2,62.3,0
2,2775634,29.86666667,47.1,40.0,37.5,34.5,36.7,63.7,29.5,43.3,61.5,46.9,54.1,59.6,50.3,45.5,45.5,13.4,0.5,20.5,32.1,45.5,63.9,100.0,100.0,14.7,41.0,82.2,63.6,34.8,24.2,22.9,24.2,31.8,17.3,30.1,30.2,0.8,90.2,100.0,80.4,28.9,20.2,37.6,1.9,1.9,52.5,52.5,42.3,50.1,59.4,76.9,100.0,53.9,87.3,49.6,61.5,0
3,9441129,26.0,52.4,49.4,41.7,100.0,3.4,20.4,0.0,14.0,25.7,13.1,67.2,90.5,51.7,53.6,53.6,43.4,67.6,24.5,13.8,70.4,80.3,97.2,97.2,100.0,29.0,81.4,42.4,60.7,100.0,14.5,47.150000000000006,100.0,26.2,40.7,11.7,10.149999999999999,59.2,57.7,60.6,17.4,21.1,13.7,92.1,92.1,34.0,34.0,42.0,20.8,70.8,39.0,100.0,13.3,100.0,54.7,0.0,0
4,46234830,42.125,41.1,56.3,52.0,60.5,48.2,51.8,22.8,68.5,66.2,16.3,64.8,72.6,59.5,72.2,72.2,42.4,71.2,9.6,17.7,38.9,42.4,41.7,56.7,43.0,17.2,69.5,37.1,43.2,23.0,14.2,54.2,45.0,5.8,5.6,5.5,6.3,85.4,100.0,70.7,74.1,69.8,78.4,5.9,5.9,35.5,35.5,51.8,40.2,10.6,47.7,83.1,11.7,86.7,29.2,33.4,0
5,2780469,29.35,48.3,40.7,32.1,56.7,12.4,28.1,20.9,33.5,53.2,43.1,57.3,50.7,61.7,50.2,50.2,37.5,49.5,13.5,36.0,58.1,73.3,100.0,100.0,7.8,15.8,92.4,50.3,43.0,59.7,58.2,28.7,100.0,19.2,30.1,13.6,10.149999999999999,39.2,27.3,51.0,45.5,33.3,57.6,4.5,4.5,41.4,41.4,29.2,40.1,58.6,0.0,30.6,47.5,100.0,40.0,59.4,0
6,93763,36.125,52.4,55.8,56.5,69.3,37.1,100.0,77.2,62.2,91.6,91.4,50.1,57.4,45.2,59.8,59.8,62.3,75.2,15.3,83.7,43.6,54.2,88.7,84.8,2.6,53.7,85.7,39.1,34.0,39.5,19.4,100.0,100.0,19.7,30.4,9.0,10.149999999999999,93.2,100.0,86.5,5.1,30.0,5.1,15.7,15.7,60.2,60.2,37.4,50.2,60.9,79.0,69.0,83.5,88.6,48.0,40.0,0
7,25978935,34.3,60.1,86.4,91.1,98.1,100.0,78.1,15.7,37.8,60.5,18.5,87.1,95.9,81.2,76.4,76.4,69.0,95.0,52.9,33.1,62.3,82.1,90.9,90.4,100.0,45.8,87.4,72.8,56.4,20.1,0.0,100.0,60.6,14.6,16.0,16.0,11.2,88.6,100.0,77.2,67.9,86.7,49.2,92.9,92.9,43.8,43.8,59.4,83.6,63.5,89.4,69.7,13.6,35.4,71.5,0.3,0
8,9042528,30.26666667,66.5,81.7,75.0,95.7,69.3,44.9,15.5,59.9,52.9,50.3,94.7,86.7,100.0,90.7,90.7,77.4,98.1,36.0,36.0,73.9,86.0,100.0,100.0,7.8,70.3,84.8,79.8,44.0,28.0,12.9,100.0,46.6,19.2,30.1,13.6,10.149999999999999,100.0,100.0,100.0,70.6,73.1,68.0,94.0,94.0,50.3,50.3,54.3,70.5,89.9,69.2,100.0,31.4,78.2,54.1,22.2,0
9,10175016,26.6,38.6,30.7,22.1,40.6,2.0,35.5,32.7,38.9,59.4,42.7,45.6,44.3,46.5,40.4,40.4,30.8,39.0,14.4,36.0,44.4,46.2,50.7,62.2,7.8,10.8,96.0,50.7,29.2,58.1,64.6,29.0,48.6,19.2,30.1,13.6,10.149999999999999,31.9,8.4,55.4,51.4,38.4,64.3,3.9,3.9,36.4,36.4,32.9,41.6,54.4,36.5,64.6,28.9,100.0,22.2,42.1,0
