,gdppercap,gdp,EPI.new,GHN.new,GHP.new,clusters,,,
74,2388.621198,3.38509E+12,18.9,0,66.8,2,lowest,67202.05766,2%
112,1095.70179,59364362541,19.4,15.8,67.6,0,highest,1059719.104,37%
177,4163.5143,4.08802E+11,20.1,2.5,53.1,0,,,
12,2688.30395,4.60201E+11,23.1,11.4,88.1,0,,,
123,1596.662661,3.76533E+11,24.6,0,71.5,0,lowest,2.59731E+13,26%
125,3020.269646,30633444295,24.8,34.9,73.2,0,highest,1.64595E+13,17%
93,754.5328769,4001047150,24.9,55.9,100,0,,,
70,1748.257132,20253551885,26.1,44,88.8,0,," $3,360.10 ",
166,10616.06104,9.05988E+11,26.3,0.1,39.6,0,," $52,985.96 ",
153,1102.146484,51662241775,27.6,20.9,67.3,0,,,
63,2175.85977,72838798788,27.7,29.6,90,0,,,
77,5937.195466,2.64182E+11,27.8,0.7,26.6,0,,,
66,5473.208741,95003333381,28,30.6,70.7,0,,,
96,505.0355276,14954967604,28,38.7,91.1,0,,,
32,716.8043812,12704149842,28.1,20.8,47.7,0,,,
103,2190.700205,10375460680,28.1,43.2,61,0,,,
75,4787.999308,1.3191E+12,28.2,0,55.1,2,,,
114,1336.546047,40828247302,28.3,28,80.4,0,,,
119,2184.421493,4.77386E+11,28.3,8.5,76.6,0,,,
34,12720.21564,1.79632E+13,28.4,0,28,1,,,
110,3527.941895,1.34182E+11,28.4,21.9,65.4,0,,,
100,833.2972552,18827176532,28.5,29.7,73.6,0,,,
128,3498.509816,4.04284E+11,28.9,8.5,72.6,0,,,
2,4273.922183,1.91913E+11,29.6,8.6,40.6,0,,,
17,1303.222014,17401746309,29.6,40.7,87.9,0,,,
108,4946.754811,16810883361,29.6,18.1,0,0,,,
28,1786.560819,29956769529,30.1,28.6,65.7,0,,,
29,1588.478723,44341646509,30.2,33.4,86.3,0,,,
3,2998.501158,1.06714E+11,30.5,26.4,62.3,0,,,
26,238.4418757,3073414678,30.5,52.7,100,0,,,
89,2088.377182,15724383783,30.7,25.3,45.9,0,,,
122,25056.79486,1.14667E+11,30.7,18.8,0,0,,,
85,2099.301938,1.1342E+11,30.8,23.3,81.6,0,,,
56,5316.658385,4943248200,31.3,60.1,54.1,0,,,
67,1531.656475,21227749389,31.6,35,72.6,0,,,
52,643.7900423,2065001626,31.7,55.3,77.5,0,,,
111,541.4544255,17851491428,31.7,27.8,86.9,0,,,
55,1027.585918,1.26783E+11,31.8,14.8,86.2,0,,,
91,4136.146575,23131941557,32.2,39.9,58.3,0,,,
92,1107.395298,2553459763,32.3,63.5,74.3,0,,,
144,461.3611383,3970343852,32.7,52.9,100,0,,,
38,2486.412194,70018715017,32.8,33.8,93.7,0,,,
135,966.3271101,13312796765,32.8,52.6,100,0,,,
131,88046.32042,2.37296E+11,33,13.1,0,0,,,
141,1598.735991,27684430244,33.9,37.6,83.1,0,,,
162,918.3767558,8126439481,34,47.5,90.8,0,,,
159,1192.403809,75709289056,34.2,23.1,84.8,0,,,
76,4387.825715,3.88544E+11,34.5,0,20.1,0,,,
152,3354.383408,74403578363,34.7,30.8,80.4,0,,,
98,11971.9276,4.06306E+11,35,7.4,23.9,0,,,
148,2203.18966,1595710784,35,85.2,99.9,0,,,
161,2358.409054,3163324631,35.1,55,51.8,0,,,
25,832.8842657,18884619613,35.5,34.4,82.8,0,,,
49,4295.407496,4.76748E+11,35.5,8.2,59.2,0,,,
88,1606.668075,10930644915,35.7,39,63.8,0,,,
168,964.2243852,45559202049,35.8,29.8,96.1,0,,,
102,6727.799562,279667900,36.2,93.8,56.8,0,,,
60,840.0101934,2273060863,36.4,67.4,96.6,0,,,
138,3743.205679,832421565.4,36.4,80.1,62.3,0,,,
71,3040.17308,31717700115,36.5,39.1,71,0,,,
43,586.4642889,58065953573,36.9,25.4,100,0,,,
175,3010.292173,983582864.6,36.9,80.5,67.7,0,,,
167,7297.180042,45610571429,37,17.6,0,0,,,
158,1054.189484,10492123388,37.1,38.5,82.8,0,,,
